MWSC,Name,Type,n_Type,RAJ2000,DEJ2000,GLON,GLAT,r0,r1,r2,pmRA,pmDE,RV,e_RV,o_RV,N1sr0,N1sr1,N1sr2,d,E(B-V),MOD,E(J-Ks),E(J-H),dH,logt,e_logt,Nt,SType,[Fe/H],e_[Fe/H],o_[Fe/H],Simbad,
2154,Dias_4           ,r,o,205.854,-63,308.787,-0.717,0.02,0.08,0.13,-10.28,-0.45,       ,        ,0,1,28,68,2155,0.583,11.855,0.28,0.187,0.015,9.26,       ,    ,   ,        ,       ,0,Simbad,
2156,NGC_5269         , , ,206.182,-62.892,308.955,-0.642,0.02,0.08,0.16,-7.03,-1.19,       ,        ,0,5,57,190,1634,0.416,11.2,0.2,0.133,0,8.52,0.1,2,non,        ,       ,0,Simbad,
2157,Loden_1010       , , ,206.272,-60.23,309.545,1.954,0.02,0.09,0.155,-8.9,-0.1,-18.6,10.51,4,3,15,225,949,0.2,9.951,0.096,0.064,-0.03,8.825,       ,    ,   ,        ,       ,0,Simbad,
2158,Loden_991        , , ,206.317,-62.035,309.193,0.184,0.02,0.07,0.11,-11.17,-2.17,       ,        ,0,7,54,149,2628,1.249,12.5,0.6,0.4,0.02,7.25,       ,    ,   ,        ,       ,0,Simbad,
2159,FSR_1647         , , ,206.422,-73.96,306.72,-11.485,0.03,0.095,0.17,-8.48,-1.53,       ,        ,0,6,34,96,2436,0.208,12,0.1,0.067,-0.01,9.455,       ,    ,   ,        ,       ,0,Simbad,
2160,NGC_5286         ,g,o,206.611,-51.374,311.608,10.572,0.04,0.11,0.185,-6.24,-3.68,57.4,1.5,0,1,44,139,11711,0.239,15.42,0.115,0.077,0,10.1,       ,    ,glo,-1.445,       ,44,Simbad,
2161,NGC_5281         , , ,206.64,-62.925,309.152,-0.718,0.035,0.115,0.215,-5.6,-2.6,-18.5,0.75,6,14,124,371,1211,0.26,10.499,0.125,0.083,0,7.76,       ,    ,   ,        ,       ,0,Simbad,
2162,NGC_5284         , , ,206.602,-59.2,309.923,2.927,0.02,0.14,0.21,-8.7,1.7,       ,        ,0,1,61,146,1577,0.5,11.15,0.24,0.16,0.02,7,       ,    ,ast,        ,       ,0,Simbad,
2163,ASCC_75          , , ,206.812,-62.4,309.341,-0.221,0.02,0.09,0.16,-4.7,-1.15,-15,3.7,1,4,56,181,2948,0.416,12.482,0.2,0.133,0,6.65,       ,    ,   ,        ,       ,0,Simbad,
2166,Collinder_277    ,r,c,207.06,-66.075,308.65,-3.833,0.02,0.08,0.13,-9.18,-5.01,       ,        ,0,2,14,34,2204,0.416,11.85,0.2,0.133,0,8.3,       ,    ,   ,        ,       ,0,Simbad,
2167,FSR_1666         ,r,c,207.15,-61.455,309.702,0.667,0.02,0.11,0.195,-8.37,-1.29,-60.7,        ,1,6,64,255,2677,1.124,12.5,0.54,0.36,0,8.15,       ,    ,   ,        ,       ,0,Simbad,
2168,NGC_5288         ,r,c,207.183,-64.695,309.003,-2.497,0.018,0.06,0.12,-9.39,-1.46,       ,        ,0,4,34,123,5086,0.833,13.8,0.4,0.267,0,9.1,       ,    ,   ,        ,       ,0,Simbad,
2169,FSR_1673         , , ,207.532,-50.667,312.344,11.133,0.018,0.08,0.12,-11.38,-3.39,       ,        ,0,4,23,38,2154,0.104,11.7,0.05,0.033,-0.02,9.5,       ,    ,   ,        ,       ,0,Simbad,
2170,NGC_5299         , , ,207.607,-59.945,310.257,2.088,0.017,0.07,0.11,-8.17,-0.26,       ,        ,0,5,56,139,1847,0.833,11.6,0.4,0.267,0,8.7,       ,    ,ast,        ,       ,0,Simbad,
2171,ASCC_76          , , ,208.057,-66.405,308.968,-4.245,0.025,0.115,0.22,-4.25,-3.8,-14,9,2,5,50,174,1025,0.458,10.201,0.22,0.147,0,7.75,       ,    ,   ,        ,       ,0,Simbad,
2173,Platais_12       , , ,208.147,-63.405,309.708,-1.337,0.05,0.35,0.57,-8.05,-4.62,-12,9.51,2,18,333,751,491,0.135,8.499,0.065,0.043,-0.04,8.4,       ,    ,   ,0.027,0.124,25,Simbad,
2174,Loden_1095       , , ,208.402,-59.745,310.692,2.19,0.012,0.09,0.125,-9.64,-2.12,       ,        ,0,2,47,84,4028,0.854,13.3,0.41,0.273,0.05,8.55,       ,    ,   ,        ,       ,0,Simbad,
2175,NGC_5316         , , ,208.485,-61.87,310.223,0.117,0.04,0.165,0.26,-6.3,-0.62,-15.1,0.28,4,19,262,570,1208,0.312,10.511,0.15,0.1,0,8.23,       ,    ,   ,0.045,0.13,2,Simbad,
2176,Loden_995        , , ,208.575,-64.95,309.521,-2.882,0.02,0.105,0.165,-4.7,0.05,-6.1,1.22,2,5,47,116,1481,0.458,11,0.22,0.147,0,8.625,       ,    ,   ,-0.131,0.09,1,Simbad,
2177,Loden_1002       , , ,208.65,-65.335,309.459,-3.263,0.018,0.085,0.14,-4.5,-3.84,       ,        ,0,3,30,92,1332,0.396,10.75,0.19,0.127,0,8,       ,    ,dub,        ,       ,0,Simbad,
2178,FSR_1683         ,r,o,208.659,-41.768,315.372,19.576,0.012,0.11,0.175,-8.8,-1.86,       ,        ,0,1,21,47,3848,0.229,13,0.11,0.073,-0.005,9.17,       ,    ,   ,        ,       ,0,Simbad,
2179,ESO_445-74       ,r,o,208.662,-31.95,318.249,29.038,0.015,0.07,0.1,-7.25,-1.09,       ,        ,0,2,8,16,3802,0,12.9,0,0,0.01,9.5,       ,    ,   ,        ,       ,0,Simbad,
2180,FSR_1668         , , ,208.725,-61.575,310.405,0.376,0.018,0.075,0.14,-10.42,-1.23,       ,        ,0,6,66,216,1184,0.416,10.501,0.2,0.133,-0.02,8.9,       ,    ,   ,        ,       ,0,Simbad,
2181,FSR_1658         , , ,208.762,-70.75,308.169,-8.525,0.018,0.075,0.147,-10.39,-0.99,       ,        ,0,7,46,136,4239,0.354,13.25,0.17,0.113,0,9.55,       ,    ,   ,        ,       ,0,Simbad,
2184,FSR_1669         , , ,209.07,-61.75,310.52,0.166,0.012,0.075,0.12,-8.55,-0.05,       ,        ,0,4,53,140,1105,0.416,10.351,0.2,0.133,-0.02,8,       ,0,   ,        ,       ,0,Simbad,
2185,FSR_1684         ,r,o,209.377,-42.87,315.609,18.373,0.02,0.09,0.16,-7.22,-2.16,       ,        ,0,1,20,57,2733,0.052,12.2,0.025,0.017,0,9.4,0.046,4,   ,        ,       ,0,Simbad,
2186,vdBergh-Hagen_155, , ,209.374,-59.58,311.209,2.229,0.01,0.08,0.13,-5.89,-0.67,       ,        ,0,2,64,165,1864,0.458,11.5,0.22,0.147,0,8.44,0.102,2,non,        ,       ,0,Simbad,
2188,FSR_1661         , , ,209.482,-69.365,308.761,-7.246,0.012,0.06,0.1,-9.87,3.3,       ,        ,0,4,32,79,4331,0.208,13.25,0.1,0.067,-0.02,9.4,       ,    ,   ,        ,       ,0,Simbad,
2189,Loden_1101       , , ,209.542,-61.75,310.737,0.11,0.012,0.08,0.155,-10.42,0.83,       ,        ,0,4,57,184,2088,0.625,11.8,0.3,0.2,-0.06,6.55,       ,    ,   ,        ,       ,0,Simbad,
2190,Loden_1177       , , ,209.775,-57.875,311.848,3.824,0.02,0.078,0.14,-6.72,1.01,       ,        ,0,5,46,157,4167,0.625,13.3,0.3,0.2,0,9.175,0.019,19,dub,        ,       ,0,Simbad,
2191,Loden_1171       , , ,209.842,-58.384,311.75,3.323,0.018,0.085,0.145,-11.94,-5.42,       ,        ,0,1,20,68,789,0.2,9.55,0.096,0.064,0,8.59,       ,    ,   ,        ,       ,0,Simbad,
2192,Loden_1152       , , ,209.865,-59.33,311.514,2.407,0.02,0.09,0.145,-6,1.76,       ,        ,0,10,106,275,1711,0.573,11.35,0.275,0.183,-0.02,8.065,0.092,2,   ,        ,       ,0,Simbad,
2193,Lynga_1          , , ,210,-62.15,310.841,-0.332,0.012,0.085,0.155,-8.45,-0.44,-24.3,0.52,6,3,75,197,1312,0.5,10.75,0.24,0.16,-0.03,8.39,       ,    ,   ,        ,       ,0,Simbad,
2194,NGC_5359         ,r,c,210,-70.4,308.662,-8.292,0.018,0.09,0.17,-6.17,-3.84,       ,        ,0,2,18,59,2221,0.208,11.8,0.1,0.067,0.04,8.75,       ,    ,   ,        ,       ,0,Simbad,
2195,FSR_1676         ,r,c,210.075,-49.765,314.18,11.6,0.012,0.095,0.145,-8.53,-1.51,       ,        ,0,3,54,120,4570,0.312,13.4,0.15,0.1,0.02,9.45,       ,    ,   ,        ,       ,0,Simbad,
2196,NGC_5381         , , ,210.165,-59.605,311.589,2.102,0.02,0.105,0.16,-5.45,0.7,       ,        ,0,6,173,354,1949,0.625,11.65,0.3,0.2,0.02,8.65,       ,    ,   ,        ,       ,0,Simbad,
2197,Loden_1202       ,r,c,211.099,-58.7,312.297,2.842,0.01,0.07,0.11,-8.27,0.34,       ,        ,0,1,37,84,1063,0.833,10.401,0.4,0.267,0,8.645,       ,1,   ,        ,       ,0,Simbad,
2198,NGC_5466         ,g,o,211.38,28.534,42.157,73.583,0.03,0.11,0.205,-3.55,-1.97,110.7,0.2,1,4,22,30,16003,0,16.021,0,0,0.02,10.1,       ,    ,glo,-1.745,       ,22,Simbad,
2199,Ruprecht_110     , , ,211.41,-67.475,309.962,-5.618,0.012,0.1,0.185,-11.67,-4,-34.4,1.51,3,2,52,182,1241,0.312,10.569,0.15,0.1,-0.03,8.7,       ,    ,   ,-0.234,0.113,3,Simbad,
2200,Loden_1194       , , ,211.455,-59.745,312.177,1.788,0.02,0.11,0.18,-7.2,-3,2,3.7,1,4,37,137,673,0.042,9.153,0.02,0.013,-0.04,8.705,       ,1,   ,        ,       ,0,Simbad,
2201,FSR_1674         ,r,c,211.659,-58.12,312.743,3.316,0.025,0.09,0.155,-0.45,-2.07,       ,        ,0,7,63,194,3057,0.229,12.5,0.11,0.073,0,9.5,       ,    ,   ,        ,       ,0,Simbad,
2202,NGC_5460         ,a,c,211.89,-48.33,315.762,12.64,0.04,0.22,0.38,-5.7,-2.95,-12.3,2.18,3,5,96,272,652,0.094,9.101,0.045,0.03,0,8.3,       ,    ,   ,        ,       ,0,Simbad,
2203,DBSB_135         ,n,o,212.16,-61.177,312.096,0.317,0.01,0.042,0.07,-10.5,-0.28,-45.9,        ,0,1,26,48,2120,1.145,12,0.55,0.367,0.03,8.35,       ,    ,irc,        ,       ,0,Simbad,
2204,Loden_1225       , , ,212.34,-59.725,312.61,1.678,0.025,0.13,0.21,-9.95,0.25,       ,        ,0,8,193,439,1330,0.25,10.7,0.12,0.08,0,8.67,       ,    ,   ,        ,       ,0,Simbad,
2205,ASCC_77          ,a,c,212.7,-62.33,311.997,-0.86,0.02,0.15,0.265,-5.8,-1.71,       ,        ,0,3,188,536,2041,0.468,11.7,0.225,0.15,-0.015,6.75,       ,    ,   ,        ,       ,0,Simbad,
2206,Loden_1289       ,r,c,213.555,-57.86,313.781,3.261,0.015,0.09,0.14,-8.24,-4.58,       ,        ,0,3,65,161,1753,0.874,11.5,0.42,0.28,0,8.6,       ,    ,   ,        ,       ,0,Simbad,
2207,ESO_097-15       , , ,213.855,-64.63,311.772,-3.206,0.02,0.08,0.12,-12.97,1.25,       ,        ,0,3,19,61,3274,0.854,12.85,0.41,0.273,0.06,8.25,       ,    ,dub,        ,       ,0,Simbad,
2208,ESO_021-06       , , ,213.966,-78.515,307.214,-16.348,0.025,0.09,0.165,-3.04,-5.85,       ,        ,0,3,32,89,2473,0.104,12,0.05,0.033,0,9.5,       ,    ,   ,        ,       ,0,Simbad,
2209,Loden_1282       , , ,213.96,-59.12,313.581,1.999,0.012,0.09,0.135,-2.98,0.41,       ,        ,0,2,77,153,1349,0.312,10.751,0.15,0.1,0,8.15,0.001,2,   ,        ,       ,0,Simbad,
2210,Loden_1256       ,r,c,214.5,-61.425,313.087,-0.268,0.035,0.115,0.19,-4.33,-3.98,       ,        ,0,9,112,302,1226,0.489,10.6,0.235,0.157,0,8.58,       ,    ,   ,        ,       ,0,Simbad,
2211,Ruprecht_167     ,r,c,214.593,-58.988,313.932,2.018,0.02,0.13,0.2,-5.86,-3.2,       ,        ,0,7,140,335,1609,0.521,11.2,0.25,0.167,-0.02,7.245,       ,1,   ,        ,       ,0,Simbad,
2212,ESO_175-06       , , ,214.695,-56.89,314.678,3.98,0.02,0.11,0.195,-8.74,-1.88,-27.9,        ,1,6,32,126,586,0.187,8.9,0.09,0.06,-0.02,8.6,       ,    ,   ,        ,       ,0,Simbad,
2213,DBSB_88          , , ,214.905,-65.432,311.929,-4.109,0.016,0.05,0.085,-8.43,-3.72,       ,        ,0,2,8,20,1366,1.874,11.28,0.9,0.6,0.04,7.85,       ,    ,irc,        ,       ,0,Simbad,
2214,FSR_1667         ,r,c,215.422,-72.085,309.821,-10.428,0.015,0.095,0.155,-4.72,2.48,       ,        ,0,3,57,140,5175,0.25,13.65,0.12,0.08,0,9.35,       ,    ,   ,        ,       ,0,Simbad,
2215,Lynga_2          , , ,216.112,-61.33,313.846,-0.441,0.02,0.12,0.2,-6.25,-6.5,-9.9,0.6,6,6,158,413,932,0.323,9.951,0.155,0.103,-0.021,8.43,0.06,3,   ,        ,       ,0,Simbad,
2216,DBSB_136         , , ,216.25,-60.375,314.245,0.429,0.015,0.045,0.07,-5.03,-1.81,-63.9,        ,0,10,47,93,6581,1.27,14.5,0.61,0.407,0,6,       ,    ,irc,        ,       ,0,Simbad,
2217,NGC_5593         , , ,216.405,-54.8,316.305,5.611,0.025,0.075,0.135,-3.5,-1.72,       ,        ,0,7,41,129,808,0.042,9.55,0.02,0.013,0,8.77,       ,    ,   ,        ,       ,0,Simbad,
2218,NGC_5606         , , ,216.945,-59.63,314.836,1,0.02,0.06,0.115,-2.9,-2.83,-38.3,1.75,4,7,45,126,2141,0.458,11.8,0.22,0.147,0.02,7.35,       ,    ,   ,        ,       ,0,Simbad,
2219,FSR_1680         , , ,217.14,-60.02,314.785,0.601,0.01,0.07,0.115,-3.28,-6.4,       ,        ,0,1,42,104,1458,0.562,11,0.27,0.18,0,8.59,0.126,3,   ,        ,       ,0,Simbad,
2220,FSR_1682         , , ,217.297,-58.71,315.341,1.79,0.015,0.105,0.18,-8.23,-1.23,       ,        ,0,7,147,370,1388,0.583,10.9,0.28,0.187,-0.03,9.16,0.035,13,   ,        ,       ,0,Simbad,
2222,NGC_5634         ,g,o,217.405,-5.976,342.203,49.267,0.02,0.075,0.115,1.15,-1.33,-45.1,6.6,0,0,4,7,25214,0.052,17.025,0.025,0.017,0,10.1,       ,    ,glo,-1.645,       ,4,Simbad,
2223,NGC_5617         , , ,217.447,-60.715,314.671,-0.101,0.025,0.085,0.145,-2.9,-3,-35.8,0.47,3,8,65,175,1769,0.5,11.399,0.24,0.16,0,8.25,       ,    ,   ,        ,       ,0,Simbad,
2224,Loden_1378       , , ,217.53,-58.215,315.637,2.205,0.025,0.095,0.15,-4.31,-3.74,       ,        ,0,11,83,220,1346,0.479,10.799,0.23,0.153,0,8.84,0.059,5,   ,        ,       ,0,Simbad,
2225,Pismis_19        , , ,217.65,-60.885,314.699,-0.296,0.03,0.075,0.12,-1.08,-1.82,       ,        ,0,17,68,109,1978,1.301,11.9,0.625,0.417,0,9.015,0.049,26,   ,        ,       ,0,Simbad,
2226,Trumpler_22      , , ,217.732,-61.165,314.632,-0.57,0.02,0.08,0.15,-5.06,-4.2,       ,        ,0,5,61,187,1614,0.5,11.2,0.24,0.16,0,8.495,0.126,4,   ,        ,       ,0,Simbad,
2227,FSR_1690         ,r,o,218.083,-53.7,317.63,6.271,0.02,0.075,0.12,-8.2,0.64,       ,        ,0,5,48,115,1850,0.666,11.55,0.32,0.213,0,9.135,       ,    ,   ,        ,       ,0,Simbad,
2228,IC_1023          ,r,o,218.085,-35.82,324.925,22.709,0.025,0.085,0.135,2.48,-0.34,       ,        ,0,3,17,32,1298,0.104,10.6,0.05,0.033,-0.03,9.48,0.001,2,ast,        ,       ,0,Simbad,
2229,Turner_7         , , ,218.062,-56.895,316.399,3.321,0.02,0.075,0.115,-9.17,-2.01,       ,        ,0,7,98,221,6955,1.208,14.6,0.58,0.387,0,9,       ,    ,   ,        ,       ,0,Simbad,
2230,Loden_1339       , , ,218.371,-62.017,314.59,-1.474,0.012,0.055,0.095,-7.42,-1.3,       ,        ,0,3,23,56,1278,0.833,10.801,0.4,0.267,-0.04,8.09,       ,1,   ,        ,       ,0,Simbad,
2231,FSR_1695         ,r,o,218.409,-49.165,319.587,10.377,0.018,0.07,0.115,-4.05,-0.68,       ,        ,0,3,27,60,1667,0.281,11.2,0.135,0.09,-0.02,9.38,0.12,3,   ,        ,       ,0,Simbad,
2232,Hogg_17          , , ,218.497,-61.347,314.903,-0.878,0.018,0.07,0.125,-2.82,-4.48,       ,        ,0,4,54,151,1148,0.625,10.501,0.3,0.2,-0.02,8.15,       ,    ,   ,        ,       ,0,Simbad,
2233,FSR_1688         , , ,218.655,-56.115,317.001,3.916,0.025,0.075,0.115,-5.36,-2.45,       ,        ,0,8,37,73,1469,0.822,11.1,0.395,0.263,0,8.455,       ,1,irc,        ,       ,0,Simbad,
2234,NGC_5662         ,a,c,218.895,-56.615,316.929,3.403,0.025,0.135,0.245,-5.15,-6.17,-23.2,1,0,4,70,251,625,0.375,9.1,0.18,0.12,-0.04,8.275,0.09,4,   ,        ,       ,0,Simbad,
2235,Ruprecht_111     , , ,219,-59.98,315.661,0.285,0.03,0.09,0.14,0.29,-1.22,       ,        ,0,18,92,187,1560,0.729,11.2,0.35,0.233,0,8.92,0.026,10,   ,        ,       ,0,Simbad,
2236,ESO_447-29       ,r,c,219.337,-29.395,329.04,28.057,0.025,0.09,0.15,-6.3,0.53,       ,        ,0,4,16,27,1634,0.104,11.1,0.05,0.033,0,9.5,       ,    ,   ,        ,       ,0,Simbad,
2237,FSR_1699         ,r,c,219.915,-44.07,322.665,14.62,0.025,0.1,0.155,-4.54,-2.65,       ,        ,0,6,49,112,1953,0.146,11.5,0.07,0.047,0,9.6,       ,    ,   ,        ,       ,0,Simbad,
2238,NGC_5694         ,g,o,219.901,-26.539,331.049,30.365,0.018,0.055,0.095,-4.3,-3.78,-140.3,0.8,0,0,7,10,34992,0.094,17.75,0.045,0.03,0,10.1,       ,    ,glo,-1.98,       ,7,Simbad,
2240,Alessi_6         , , ,220.132,-66.12,313.669,-5.546,0.02,0.235,0.39,-8.2,-5.9,9.2,1.16,3,2,127,340,613,0.189,8.998,0.091,0.061,0,8.32,       ,1,   ,-0.154,0.08,1,Simbad,
2241,FSR_1686         , , ,220.071,-60.372,315.993,-0.287,0.02,0.07,0.115,-2.62,-4.64,       ,        ,0,2,36,73,5405,1.666,14.2,0.8,0.534,0,8.5,       ,    ,   ,        ,       ,0,Simbad,
2243,Loden_1373       , , ,220.395,-62.89,315.102,-2.647,0.025,0.115,0.17,-5.57,0.1,       ,        ,0,5,40,89,3412,1.041,13,0.5,0.333,0.04,7.95,       ,    ,dub,        ,       ,0,Simbad,
2244,DBSB_137         ,n,o,220.509,-60.51,316.133,-0.501,0.01,0.035,0.055,0.7,2.18,-58.6,        ,0,1,13,32,5276,1.208,14,0.58,0.387,0,6,       ,    ,irc,        ,       ,0,Simbad,
2245,NGC_5715         , , ,220.875,-57.567,317.528,2.098,0.015,0.06,0.115,-3.66,-0.42,       ,        ,0,4,48,126,1490,0.468,11.017,0.225,0.15,0,8.97,0.028,8,   ,        ,       ,0,Simbad,
2246,Loden_1375       , , ,221.085,-63.405,315.171,-3.245,0.012,0.085,0.145,-6.87,-0.08,       ,        ,0,2,36,103,1819,0.625,11.5,0.3,0.2,-0.02,7.9,       ,    ,   ,        ,       ,0,Simbad,
2247,FSR_1678         , , ,221.145,-64.74,314.63,-4.466,0.02,0.095,0.14,-6.88,0.2,       ,        ,0,3,39,85,1791,0.573,11.45,0.275,0.183,0,9,       ,    ,   ,        ,       ,0,Simbad,
2248,ESO_134-12       , , ,221.197,-59.142,317.019,0.597,0.012,0.065,0.11,-5.35,0.65,       ,        ,0,2,46,98,2088,0.937,11.9,0.45,0.3,0,8.9,       ,    ,   ,        ,       ,0,Simbad,
2249,Loden_1409       , , ,221.167,-61.715,315.919,-1.729,0.035,0.15,0.26,-7,-4.5,-33.8,0.29,1,10,147,409,2088,0.937,11.9,0.45,0.3,0,8,       ,    ,   ,        ,       ,0,Simbad,
2250,DBSB_89          , , ,221.257,-59.833,316.755,-0.042,0.01,0.035,0.065,-2.59,1.5,       ,        ,0,1,12,32,4069,1.562,13.55,0.75,0.5,0,6,       ,    ,irc,        ,       ,0,Simbad,
2251,Cir_OB1          ,a,o,221.25,-62.925,315.442,-2.842,0.04,0.24,0.35,-11.07,-0.67,-10,5.9,1,9,293,644,1783,2.311,11.999,1.11,0.74,0.11,6.8,       ,    ,ass,        ,       ,0,Simbad,
2254,FSR_1689         , , ,221.722,-59.487,317.115,0.171,0.01,0.06,0.12,-6.01,5.78,       ,        ,0,2,25,84,2282,0.833,12.06,0.4,0.267,0,9.275,       ,    ,   ,        ,       ,0,Simbad,
2255,vdBergh-Hagen_164, , ,221.91,-66.39,314.207,-6.093,0.025,0.25,0.37,-5.9,-9,13.5,5.5,2,1,43,110,501,0.312,8.6,0.15,0.1,-0.04,7.1,       ,    ,   ,        ,       ,0,Simbad,
2256,NGC_5749         , , ,222.195,-54.485,319.516,4.568,0.015,0.12,0.21,-1.05,-3.44,       ,        ,0,4,112,317,1014,0.479,10.184,0.23,0.153,0,8,       ,    ,   ,        ,       ,0,Simbad,
2257,Hogg_18          , , ,222.675,-52.27,320.756,6.429,0.015,0.085,0.16,-3.11,-3.48,       ,        ,0,6,68,223,1535,0.51,11.095,0.245,0.163,0,7.95,       ,    ,   ,        ,       ,0,Simbad,
2258,Teutsch_80       , , ,223.35,-60.485,317.406,-1.083,0.025,0.08,0.145,-6.78,0.42,       ,        ,0,16,98,249,2352,1.686,12.4,0.81,0.54,0.04,7.75,0.141,4,   ,        ,       ,0,Simbad,
2259,NGC_5764         , , ,223.387,-52.673,320.964,5.874,0.018,0.07,0.15,-3.26,0.94,       ,        ,0,6,61,208,2681,1.114,12.5,0.535,0.357,0.07,8.475,       ,    ,   ,        ,       ,0,Simbad,
2260,ESO_008-06       ,r,c,224.227,-83.445,306.591,-21.481,0.025,0.13,0.185,-5.26,-4.21,       ,        ,0,5,46,78,1380,0.312,10.8,0.15,0.1,0.03,9.3,       ,    ,   ,        ,       ,0,Simbad,
2261,Ruprecht_112     ,r,c,224.235,-62.573,316.825,-3.133,0.02,0.1,0.16,-7,-0.94,       ,        ,0,5,80,195,1764,0.833,11.5,0.4,0.267,0.02,8.74,       ,    ,   ,        ,       ,0,Simbad,
2262,FSR_1685         , , ,224.31,-64.945,315.748,-5.248,0.01,0.055,0.085,-3.64,-0.62,       ,        ,0,2,17,50,1513,0.312,11,0.15,0.1,0,9.25,0.072,2,   ,        ,       ,0,Simbad,
2263,IC_4499          ,g,o,225.076,-82.214,307.351,-20.47,0.03,0.085,0.14,-5.39,-7.53,31.5,0.4,0,8,27,50,18804,0.229,16.445,0.11,0.073,0,10.1,       ,    ,glo,-1.445,       ,27,Simbad,
2264,FSR_1696         ,r,c,225.3,-57.665,319.603,0.948,0.015,0.07,0.115,-9.29,-0.37,       ,        ,0,2,45,116,1148,0.625,10.501,0.3,0.2,-0.03,8.61,       ,    ,   ,        ,       ,0,Simbad,
2265,NGC_5800         , , ,225.445,-51.917,322.438,5.953,0.012,0.075,0.14,-4.17,0.83,       ,        ,0,3,52,198,4844,0.541,13.6,0.26,0.173,-0.015,9.25,       ,    ,   ,        ,       ,0,Simbad,
2266,DBSB_92          , , ,225.9,-57.68,319.877,0.781,0.02,0.05,0.1,-7.41,-2.42,       ,        ,0,3,24,87,1963,1.041,11.8,0.5,0.333,0,7.4,       ,    ,irc,        ,       ,0,Simbad,
2267,NGC_5824         ,g,o,225.994,-33.068,332.549,22.076,0.025,0.085,0.14,-0.22,-0.42,-27.5,1.5,0,2,21,45,32114,0.129,17.575,0.062,0.041,0,10.1,       ,    ,glo,-1.745,       ,21,Simbad,
2268,FSR_1705         ,r,c,226.066,-45.55,325.95,11.306,0.018,0.04,0.07,-2.55,-7.91,       ,        ,0,6,14,32,1582,0.167,11.05,0.08,0.053,0,9.4,       ,    ,   ,        ,       ,0,Simbad,
2269,NGC_5822         , , ,226.117,-54.39,321.587,3.595,0.03,0.3,0.55,-7.38,-5.17,-21.2,4.56,17,8,568,1817,794,0.312,9.6,0.15,0.1,-0.02,8.84,0.013,40,   ,0.05,0.04,3,Simbad,
2270,ASCC_78          ,r,c,226.402,-68.405,314.8,-8.679,0.02,0.1,0.155,-6.16,-0.42,       ,        ,0,3,35,88,3241,0.146,12.6,0.07,0.047,0,9.38,       ,    ,   ,-0.058,0.08,8,Simbad,
2271,IRAS_15015-5720  ,n,o,226.324,-57.528,320.15,0.802,0.01,0.03,0.058,-2.01,-1.58,-36,        ,0,0,9,33,3391,1.083,13,0.52,0.347,0,6.4,       ,    ,irc,        ,       ,0,Simbad,
2273,NGC_5823         , , ,226.38,-55.595,321.126,2.471,0.012,0.065,0.11,-4.7,-3,-19.8,0.2,0,3,71,161,1189,0.104,10.409,0.05,0.033,-0.02,8.96,0.025,4,   ,        ,       ,0,Simbad,
2274,FSR_1697         , , ,226.675,-56.517,320.815,1.588,0.02,0.062,0.105,-7.03,2.14,       ,        ,0,10,52,128,912,0.625,10.001,0.3,0.2,0,8.06,       ,1,irc,        ,       ,0,Simbad,
2275,Loden_2115       , , ,226.927,-54.522,321.931,3.247,0.02,0.11,0.19,-7.78,-0.59,       ,        ,0,9,143,423,1434,0.677,11,0.325,0.217,0,8.96,0.024,7,   ,        ,       ,0,Simbad,
2276,DBSB_140         , , ,227.512,-58.287,320.319,-0.17,0.012,0.05,0.075,-6.22,-1.53,-9.7,        ,0,2,34,62,1535,1.77,11.5,0.85,0.567,0,7.3,       ,    ,irc,        ,       ,0,Simbad,
2277,DBSB_139         , , ,227.505,-58.426,320.245,-0.288,0.015,0.037,0.062,-3.57,0.63,-65.8,        ,0,6,18,49,1950,1.707,12,0.82,0.547,0.03,7.5,       ,    ,irc,        ,       ,0,Simbad,
2278,Loden_2045       , , ,227.64,-58.77,320.131,-0.62,0.02,0.09,0.16,-5.24,1.56,       ,        ,0,5,74,232,2056,1.041,11.9,0.5,0.333,-0.02,6.8,       ,    ,dub,        ,       ,0,Simbad,
2279,FSR_1720         , , ,227.872,-37.365,331.51,17.619,0.02,0.1,0.185,-5.65,0.28,       ,        ,0,2,45,127,3066,0.208,12.5,0.1,0.067,0,9.33,       ,    ,   ,        ,       ,0,Simbad,
2280,FSR_1694         ,n,o,228.802,-62.775,318.551,-4.345,0.02,0.09,0.13,-0.55,-5.63,       ,        ,0,3,34,60,9537,1.874,15.5,0.9,0.6,0,8.4,       ,    ,   ,        ,       ,0,Simbad,
2281,Pismis_20        , , ,228.846,-59.067,320.512,-1.196,0.015,0.05,0.085,-2.7,-0.38,-69.6,2.35,2,5,25,76,1501,1.145,11.25,0.55,0.367,-0.02,7.5,       ,    ,   ,        ,       ,0,Simbad,
2282,Palomar_5        ,g,o,229.021,-0.112,0.846,45.866,0.012,0.08,0.14,-2.99,-0.6,-58.7,0.2,0,1,10,14,23195,0.031,16.837,0.015,0.01,0,10.1,       ,    ,glo,-1.245,       ,10,Simbad,
2283,Pismis_21        , , ,229.185,-59.655,320.35,-1.787,0.022,0.07,0.11,-5.53,-1.94,-41.2,0.69,1,11,59,133,1174,0.625,10.549,0.3,0.2,0,8.11,       ,    ,ast,        ,       ,0,Simbad,
